id_source,source
1,Anti-Abortion Project 2010
2,Armenian Website
3,CAIN
4,CBRN Global Chronology
5,CETIS
6,Disorders and Terrorism Chronology
7,Eco Project 2010
8,Hewitt Project
9,Hijacking DB
10,HSI
11,Hyland
12,ISVG
13,Leuprecht Canadian Data
14,PGIS
15,Sageman
16,START Primary Collection
17,State Department 1997 Document
18,UMD Algeria 2010-2012
19,UMD Assassinations Project
20,UMD Black Widows 2011
21,UMD Encyclopedia of World Terrorism 2012
22,UMD JTMM Nepal 2012
23,UMD Miscellaneous
24,UMD Schmid 2012
25,UMD South Africa
26,UMD Sri Lanka 2011