id_country,Year,Score
102,2018,0.21
102,2019,0.105
102,2020,0.191
103,2010,0.115
103,2011,0.057
103,2012,0.346
103,2013,4.461
103,2014,6.25
103,2015,7.29
103,2016,7.283
103,2017,7.256
103,2018,6.987
103,2019,6.766
103,2020,6.25
104,2010,0
104,2011,0
104,2012,0
104,2013,0
104,2014,0
104,2015,0
104,2016,0
104,2017,0
104,2018,0
104,2019,0.458
104,2020,0.229
107,2010,2.046
107,2011,1.372
107,2012,0.624
107,2013,2.109
107,2014,1.45
107,2015,2.252
107,2016,1.86
107,2017,1.186
107,2018,0.649
107,2019,0.301
107,2020,0.105
108,2010,1.198
108,2011,0.551
108,2012,0.435
108,2013,1.049
108,2014,1.26
108,2015,2.444
108,2016,1.671
108,2017,3.287
108,2018,2.613
108,2019,1.957
108,2020,1.19
109,2010,0
109,2011,0
109,2012,0
109,2013,0
109,2014,0
109,2015,0
109,2016,0
109,2017,0
109,2018,0.458
109,2019,0.663
109,2020,1.635
110,2010,0.775
110,2011,0.344
110,2012,0.415
110,2013,1.798
110,2014,3.04
110,2015,3.579
110,2016,2.691
110,2017,3.334
110,2018,2.7
110,2019,2.495
110,2020,2.09
112,2010,4.116
112,2011,3.522
112,2012,3.389
112,2013,4.592
112,2014,5.29
112,2015,5.871
112,2016,6.03
112,2017,5.88
112,2018,6.015
112,2019,6.653
112,2020,7.049
115,2010,2.227
115,2011,1.852
115,2012,2.181
115,2013,1.19
115,2014,0.56
115,2015,0.305
115,2016,0.067
115,2017,0
115,2018,0
115,2019,0
115,2020,0
116,2010,0
116,2011,0
116,2012,0
116,2013,0
116,2014,0
116,2015,0
116,2016,0
116,2017,0
116,2018,0
116,2019,0
116,2020,0
117,2010,2.558
117,2011,2.354
117,2012,2.008
117,2013,3.353
117,2014,4.66
117,2015,3.985
117,2016,3.723
117,2017,3.292
117,2018,3.533
117,2019,4.08
117,2020,4.316
118,2010,2.297
118,2011,1.635
118,2012,0.992
118,2013,0.565
118,2014,0.28
118,2015,0.038
118,2016,0.019
118,2017,0.47
118,2018,0.229
118,2019,0.115
118,2020,0.057
119,2010,0.038
119,2011,0.019
119,2012,0
119,2013,0
119,2014,0.7
119,2015,0.659
119,2016,0.154
119,2017,0.077
119,2018,0.038
119,2019,0.999
119,2020,0.42
120,2010,2.017
120,2011,1.331
120,2012,3.599
120,2013,2.656
120,2014,2.11
120,2015,1.446
120,2016,0.892
120,2017,0.077
120,2018,0.038
120,2019,1.215
120,2020,0.565
121,2010,0.915
121,2011,0.391
121,2012,0.203
121,2013,1.066
121,2014,4.01
121,2015,4.386
121,2016,3.536
121,2017,4.882
121,2018,4.579
121,2019,5.542
121,2020,6.4
122,2010,4.58
122,2011,4.501
122,2012,4.088
122,2013,4.022
122,2014,4.24
122,2015,4.08
122,2016,4.167
122,2017,4.956
122,2018,5.916
122,2019,5.512
122,2020,5.543
123,2010,0
123,2011,0
123,2012,0
123,2013,0
123,2014,0
123,2015,0
123,2016,0
123,2017,0
123,2018,0
123,2019,0
123,2020,0
124,2010,5.414
124,2011,5.043
124,2012,5.017
124,2013,4.672
124,2014,5.23
124,2015,4.791
124,2016,4.415
124,2017,4.387
124,2018,5.295
124,2019,5.093
124,2020,5.34
125,2010,2.642
125,2011,2.052
125,2012,2.037
125,2013,1.223
125,2014,0.58
125,2015,0.429
125,2016,0.864
125,2017,2.412
125,2018,1.96
125,2019,2.347
125,2020,2.689
128,2010,0.382
128,2011,0.191
128,2012,0.079
128,2013,0.048
128,2014,0
128,2015,1.187
128,2016,0.23
128,2017,0.611
128,2018,0.286
128,2019,0.143
128,2020,4.337
129,2010,0
129,2011,0
129,2012,0
129,2013,0
129,2014,0
129,2015,2.928
129,2016,2.093
129,2017,1.437
129,2018,0.747
129,2019,2.952
129,2020,2.355
130,2010,3.646
130,2011,3.09
130,2012,3.266
130,2013,1.896
130,2014,2.59
130,2015,3.485
130,2016,6.682
130,2017,6.316
130,2018,6.004
130,2019,5.596
130,2020,5.617
131,2010,6.225
131,2011,6.125
131,2012,7.242
131,2013,7.801
131,2014,8.58
131,2015,9.213
131,2016,9.314
131,2017,9.009
131,2018,8.66
131,2019,8.597
131,2020,8.314
132,2010,0
132,2011,0
132,2012,0
132,2013,0
132,2014,0
132,2015,0
132,2016,0
132,2017,0
132,2018,0
132,2019,0
132,2020,0
134,2010,0.057
134,2011,0.258
134,2012,5.031
134,2013,4.066
134,2014,3.57
134,2015,2.738
134,2016,2.077
134,2017,0
134,2018,0.153
134,2019,0.076
134,2020,1.297
135,2010,8.287
135,2011,8.437
135,2012,9.049
135,2013,8.668
135,2014,9.37
135,2015,9.065
135,2016,8.613
135,2017,8.4
135,2018,8.181
135,2019,7.889
135,2020,7.541
136,2010,0.663
136,2011,0.305
136,2012,0
136,2013,0.076
136,2014,0.04
136,2015,0
136,2016,0
136,2017,0.154
136,2018,0.076
136,2019,0.038
136,2020,0.019
137,2010,0.038
137,2011,0.019
137,2012,0.01
137,2013,0
137,2014,0
137,2015,0
137,2016,0
137,2017,0
137,2018,2.04
137,2019,1.364
137,2020,0.691
138,2010,0
138,2011,1.832
138,2012,2.174
138,2013,2.035
138,2014,3.63
138,2015,4.094
138,2016,3.84
138,2017,3.598
138,2018,3.443
138,2019,3.119
138,2020,2.414
140,2010,3.679
140,2011,3.024
140,2012,2.491
140,2013,2.642
140,2014,2.96
140,2015,3.316
140,2016,2.984
140,2017,2.544
140,2018,2.95
140,2019,2.84
140,2020,2.141
141,2010,6.501
141,2011,6.523
141,2012,6.801
141,2013,6.408
141,2014,7.29
141,2015,7.27
141,2016,7.098
141,2017,7.126
141,2018,7.181
141,2019,7.137
141,2020,7.099
142,2010,0
142,2011,0.775
142,2012,0
142,2013,0.172
142,2014,0
142,2015,0
142,2016,0
142,2017,0.384
142,2018,0.719
142,2019,0.477
142,2020,0.239
143,2010,0
143,2011,0
143,2012,1.129
143,2013,0.458
143,2014,0.23
143,2015,0.267
143,2016,0.058
143,2017,0
143,2018,0
143,2019,0
143,2020,0
144,2010,0.124
144,2011,0
144,2012,2.68
144,2013,0
144,2014,0
144,2015,0
144,2016,0.23
144,2017,0.115
144,2018,0.057
144,2019,0.029
144,2020,0.014
145,2010,0
145,2011,0
145,2012,0
145,2013,0
145,2014,1.59
145,2015,0.823
145,2016,0.365
145,2017,4.04
145,2018,3.368
145,2019,2.687
145,2020,2.043
147,2010,0.115
147,2011,0.057
147,2012,0
147,2013,0.014
147,2014,0
147,2015,0
147,2016,0
147,2017,0
147,2018,0
147,2019,0
147,2020,0
148,2010,6.13
148,2011,6.626
148,2012,7.068
148,2013,6.522
148,2014,6.76
148,2015,6.207
148,2016,5.43
148,2017,5.329
148,2018,5.23
148,2019,4.9
148,2020,4.542
149,2010,3.031
149,2011,3.635
149,2012,3.729
149,2013,3.729
149,2014,4
149,2015,3.334
149,2016,2.589
149,2017,1.929
149,2018,2.177
149,2019,2.948
149,2020,3.754
150,2010,2.708
150,2011,2.055
150,2012,2.708
150,2013,2.72
150,2014,2.71
150,2015,4.006
150,2016,5.404
150,2017,5.808
150,2018,5.479
150,2019,5.238
150,2020,5
151,2010,2.935
151,2011,2.712
151,2012,3.864
151,2013,3.362
151,2014,3.55
151,2015,3.467
151,2016,2.598
151,2017,1.795
151,2018,1.012
151,2019,1.186
151,2020,0.391
152,2010,2.11
152,2011,1.871
152,2012,1.168
152,2013,1.331
152,2014,0.58
152,2015,0.41
152,2016,0.086
152,2017,0.043
152,2018,0.229
152,2019,0.115
152,2020,0.057
155,2010,0
155,2011,0
155,2012,0
155,2013,0
155,2014,0
155,2015,0
155,2016,0
155,2017,0.667
155,2018,1.066
155,2019,0.458
155,2020,0.229
156,2010,0
156,2011,0
156,2012,0
156,2013,0
156,2014,0
156,2015,0
156,2016,0
156,2017,0
156,2018,0
156,2019,0
156,2020,0
157,2010,0
157,2011,0
157,2012,0
157,2013,0
157,2014,0
157,2015,0
157,2016,0
157,2017,0.23
157,2018,0.115
157,2019,0.057
157,2020,0.029
158,2010,0
158,2011,0
158,2012,0
158,2013,0
158,2014,0
158,2015,0
158,2016,0
158,2017,0
158,2018,0
158,2019,0
158,2020,0
160,2010,6.799
160,2011,6.657
160,2012,7.244
160,2013,6.938
160,2014,7.41
160,2015,7.6
160,2016,7.548
160,2017,7.654
160,2018,8.02
160,2019,7.8
160,2020,7.645
161,2010,0.286
161,2011,0.143
161,2012,0.054
161,2013,2.347
161,2014,3.04
161,2015,4.231
161,2016,3.531
161,2017,4.092
161,2018,4.263
161,2019,4.511
161,2020,4.358
162,2010,0.029
162,2011,0.014
162,2012,0
162,2013,0
162,2014,0
162,2015,0
162,2016,0.23
162,2017,0.611
162,2018,0.286
162,2019,0.296
162,2020,0.656
163,2013,4.097
163,2014,5.6
163,2015,6.712
163,2016,6.497
163,2017,6.821
163,2018,6.756
163,2019,6.316
163,2020,5.726
167,2010,4.236
167,2011,3.606
167,2012,3.086
167,2013,2.234
167,2014,1.84
167,2015,2.622
167,2016,1.203
167,2017,1.701
167,2018,4.024
167,2019,3.354
167,2020,2.81
168,2010,6.782
168,2011,6.121
168,2012,5.68
168,2013,4.538
168,2014,4.01
168,2015,4.077
168,2016,3.486
168,2017,2.905
168,2018,4.048
168,2019,3.569
168,2020,6.065
171,2010,5.889
171,2011,5.677
171,2012,6.304
171,2013,5.641
171,2014,5.77
171,2015,6.686
171,2016,6.6
171,2017,6.453
171,2018,6.178
171,2019,5.807
171,2020,5.401
174,2010,1.223
174,2011,2.032
174,2012,1.755
174,2013,1.68
174,2014,1.07
174,2015,3.083
174,2016,3.984
174,2017,3.756
174,2018,3.936
174,2019,3.45
174,2020,2.892
175,2010,0.172
175,2011,0.086
175,2012,1.173
175,2013,0.458
175,2014,1.34
175,2015,1.349
175,2016,0.288
175,2017,0.269
175,2018,0.134
175,2019,0.191
175,2020,0.286
176,2010,2.684
176,2011,2.04
176,2012,5.861
176,2013,7.105
176,2014,8.12
176,2015,8.108
176,2016,8.587
176,2017,8.621
176,2018,8.315
176,2019,8.006
176,2020,7.778
177,2010,0.115
177,2011,0.057
177,2012,0
177,2013,0.014
177,2014,0.31
177,2015,0.153
177,2016,0.077
177,2017,0.499
177,2018,0.943
177,2019,1.008
177,2020,0.607
178,2010,0.181
178,2011,2.546
178,2012,2.016
178,2013,2.542
178,2014,1.99
178,2015,1.869
178,2016,3.086
178,2017,2.427
178,2018,2.233
178,2019,3.947
178,2020,4.18
179,2010,0.153
179,2011,0.229
179,2012,0.119
179,2013,0.057
179,2014,3.71
179,2015,3.979
179,2016,3.832
179,2017,3.413
179,2018,3.368
179,2019,3.272
179,2020,3.112
180,2010,6.794
180,2011,6.745
180,2012,7.086
180,2013,6.776
180,2014,7.19
180,2015,7.279
180,2016,6.706
180,2017,6.609
180,2018,6.252
180,2019,6.029
180,2020,5.783
181,2010,0
181,2011,0
181,2013,0
181,2014,0
181,2015,0
181,2016,0
181,2017,0
181,2018,0
181,2019,0
181,2020,0
182,2010,0.086
182,2011,0
182,2012,0
182,2013,0
182,2014,1.54
182,2015,1.583
182,2016,0.499
182,2017,0.25
182,2018,0.124
182,2019,0.019
182,2020,0.162
183,2010,1.694
183,2011,1.049
183,2012,2.358
183,2013,3.061
183,2014,3.29
183,2015,3.697
183,2016,4.963
183,2017,4.619
183,2018,4.088
183,2019,3.938
183,2020,3.858
184,2010,4.946
184,2011,4.613
184,2012,5.238
184,2013,5.764
184,2014,5.98
184,2015,5.737
184,2016,6.738
184,2017,7.519
184,2018,7.036
184,2019,6.533
184,2020,6.11
185,2010,0
185,2011,0
185,2012,0
185,2013,0
185,2014,0
185,2015,0
185,2016,0
185,2017,0
185,2018,0
185,2019,0
185,2020,0
186,2010,3.343
186,2011,4.778
186,2012,4.492
186,2013,3.669
186,2014,2.93
186,2015,4.894
186,2016,4.327
186,2017,4.319
186,2018,3.926
186,2019,3.957
186,2020,3.278
187,2010,1.496
187,2011,2.186
187,2012,2.163
187,2013,2.985
187,2014,2.95
187,2015,7.2
187,2016,7.132
187,2017,6.557
187,2018,6.048
187,2019,5.547
187,2020,4.692
188,2010,0
188,2011,1.132
188,2012,0.079
188,2013,0.248
188,2014,0.29
188,2015,1.045
188,2016,0.422
188,2017,0.211
188,2018,0.105
188,2019,0.048
188,2020,0
189,2010,4.005
189,2011,4.114
189,2012,4.509
189,2013,4.289
189,2014,5.17
189,2015,5.613
189,2016,5.08
189,2017,5.102
189,2018,5.61
189,2019,5.405
189,2020,5.161
190,2010,3.904
190,2011,3.797
190,2012,3.566
190,2013,3.741
190,2014,4.71
190,2015,4.613
190,2016,4.877
190,2017,5.429
190,2018,6.066
190,2019,5.691
190,2020,5.26
191,2010,0.029
191,2011,0
191,2012,0
191,2013,0
191,2014,0
191,2015,0
191,2016,0
191,2017,0.779
191,2018,0.344
191,2019,0.172
191,2020,0.086
192,2010,1.871
192,2011,1.198
192,2012,0.585
192,2013,0.267
192,2014,0.14
192,2015,0
192,2016,0.154
192,2017,0.077
192,2018,0.038
192,2019,0.019
192,2020,0.01
195,2010,2.898
195,2011,2.221
195,2012,1.62
195,2013,1.19
195,2014,0.54
195,2015,2.139
195,2016,1.998
195,2017,3.632
195,2018,3.665
195,2019,4.101
195,2020,3.658
196,2010,0
196,2011,0
196,2012,0
196,2013,0
196,2014,0
196,2015,0
196,2016,0
196,2017,0
196,2018,0.663
196,2019,0.999
196,2020,0.42
198,2010,4.739
198,2011,4.233
198,2013,4.069
198,2016,5.659
198,2017,5.551
198,2018,5.33
198,2019,5.177
198,2020,5.077
201,2010,5.079
201,2011,6.322
201,2012,7.305
201,2013,6.834
201,2014,7.31
201,2015,7.642
201,2016,8.076
201,2017,7.877
201,2018,7.534
201,2019,7.259
201,2020,7.581
204,2010,0
204,2011,0
204,2012,0
204,2013,0
204,2014,0
204,2015,0
204,2016,0
204,2017,0
204,2018,0.663
204,2019,0.305
204,2020,0.153
205,2010,2.084
205,2011,1.81
205,2012,1.36
205,2013,0.607
205,2014,1.16
205,2015,1.71
205,2016,0.413
205,2017,0.202
205,2018,1.569
205,2019,2.834
205,2020,2.443
206,2010,0.248
206,2011,0.124
206,2012,0.059
206,2013,0.029
206,2014,0
206,2015,0
206,2016,0
206,2017,0
206,2018,0
206,2019,0
206,2020,0
207,2010,0
207,2011,0
207,2012,0
207,2013,0
207,2014,0
207,2015,0
207,2016,0
207,2017,0
207,2018,0
207,2019,0
207,2020,0
208,2010,0
208,2011,0
208,2012,0
208,2013,0
208,2014,0
208,2015,0
208,2016,0
208,2017,0
208,2018,0
208,2019,0
208,2020,0